"Time","Coral","Macro"
0.,0.15887590240260777,0.5083562267149352,0.3327678708824571
0.5,0.1455217490604997,0.5516935511028147,0.30278469347584513
1.,0.13095102358954633,0.5980476584054276,0.27100130764057845
1.5,0.11592209377966195,0.6383953961416509,0.24568251361313548
2.,0.10188167481491872,0.6516734525843748,0.2464449348056894
2.5,0.0894885650144965,0.6644883895143187,0.24602310463706653
3.,0.07762806159857175,0.7174971160194947,0.20487479001920694
3.5,0.06592853006392678,0.7630388923190343,0.17103256067474906
4.,0.05504250059356615,0.8004414625113341,0.1445160358436783
4.5,0.04647325482764274,0.745344983919619,0.20818197654735707
5.,0.039619456938546106,0.773936507425737,0.18644404486212246
5.5,0.03359775270438763,0.777485925679088,0.18891638648715794
6.,0.028549964556677562,0.7766726312874088,0.19477747676371363
6.5,0.024281655048391866,0.7823811647748137,0.19333723552646115
7.,0.020533365453313693,0.803983563611893,0.17548308822570385
7.5,0.017185215972084687,0.8263132734409175,0.15650152506618792
8.,0.014367927470513069,0.8151714419821697,0.17046072211580565
8.5,0.011921629244118562,0.8560236227678307,0.13205471798542717
9.,0.00999172079887349,0.7892051363061167,0.20080336988063405
9.5,0.008455479942031722,0.8179917665008258,0.17355274902867002
10.,0.007134078238168535,0.8048192594671809,0.1880467547210708
10.5,0.006188464057922033,0.7239803518954158,0.2698314429223413
11.,0.005484673570497941,0.7227192529317205,0.27179613600734914
11.5,0.0048141615043797974,0.7588083815341272,0.23637743504593106
12.,0.004120991857398107,0.8143672642938897,0.18151167846734786
12.5,0.003439039149142939,0.8529604244647878,0.14360050727885923
13.,0.002856948237173396,0.8349489825068952,0.16219417157723628
13.5,0.0023782719004928573,0.8448156192647592,0.15280614480237414
14.,0.0019622073368761677,0.867543052196229,0.13049474641351186
14.5,0.0016085505518536876,0.8699629178703171,0.1284285846195036
15.,0.0013434465429518613,0.8049153619299905,0.1937414095462759
15.5,0.0011292580940682991,0.8408757876756864,0.15799493011175478
16.,0.0009460841551983178,0.8202420892281937,0.1788119340922074
16.5,0.0007886602264296889,0.8564153445415728,0.142795970224838
17.,0.0006561414571374198,0.8309648444285809,0.16837913324294318
17.5,0.0005455172575197671,0.8562631368059695,0.1431913453832466
18.,0.0004519775501105106,0.8456503228261958,0.15389778292531028
18.5,0.00037398772602423384,0.8597851862043636,0.13984085104510477
19.,0.00030889303348453185,0.8535219667644992,0.1461692130787765
19.5,0.0002586838372997102,0.8118502360025984,0.1878912387217467
20.,0.0002226565153842637,0.7549170466430493,0.24486049252033834
20.5,0.00019586279855031034,0.7304675508867584,0.26933670173448565
21.,0.00017313075758231962,0.7357385287458853,0.2640883862892553
21.5,0.00017008657646222982,0.39415611219872704,0.6056748918972013
22.,0.00018978002174597952,0.24096700471383195,0.7588436862885304
22.5,0.00021631309505687555,0.3021865140653785,0.6975971157543551
23.,0.00024457631311458166,0.27023296409416137,0.7295225889313226
23.5,0.0002834977615182214,0.21358834565845078,0.7861283478806421
24.,0.00034012329813230965,0.14678726293026031,0.8528728378636936
24.5,0.00041258651826170644,0.16866884306045163,0.8309185860733631
25.,0.0005043598271183155,0.12138029560790951,0.8781155165939593
25.5,0.0006200954677443436,0.1450569023491199,0.8543230154268425
26.,0.0007798380414810955,0.05376577726731053,0.9454547363482347
26.5,0.001005360535253919,0.039849209251055125,0.9591455201798144
27.,0.0012967972643258738,0.05104063103725415,0.9476626091236714
27.5,0.0016595837808743611,0.06824558958865735,0.9300948538381586
28.,0.0021042220745385635,0.08378514876429513,0.9141106577874861
28.5,0.0026414028883550347,0.10390882870092212,0.8934497885403476
29.,0.0032998405070633454,0.09964798125448791,0.8970522437521613
29.5,0.004217024590125169,0.032464052769277156,0.9633192055153459
30.,0.005461787540596417,0.036513910507564494,0.9580243499052793
30.5,0.007042023255906878,0.04667256681380352,0.9462854468651948
31.,0.009004095415903867,0.0640676924370505,0.9269282365493834
31.5,0.011419917292799316,0.07142547928588244,0.917154642731165
32.,0.014397743001891969,0.08091706627575229,0.904685224998106
32.5,0.01797409741227636,0.10180382870203354,0.8802220872175311
33.,0.022093968824624072,0.13050851041603473,0.8473975189970326
33.5,0.026903538924349733,0.12705678754763336,0.8460397294051045
34.,0.03247092541112441,0.15381201850407047,0.81371705312164
34.5,0.03931322434172329,0.10714781211676347,0.8535391229537619
35.,0.047999329940472735,0.10589079048574651,0.8461099235196092
35.5,0.05819560931743669,0.11547277894234276,0.8263316312086352
36.,0.06955394319416701,0.1387583356852752,0.7916877130348224
36.5,0.08192118066163268,0.14660851988769055,0.771470317026299
37.,0.09717349158767502,0.09273571429019617,0.8100909611646334
37.5,0.1173569912447242,0.04935145591223133,0.8332916918450116
38.,0.14115783865075324,0.06302388073967079,0.795818267970101
38.5,0.1669103540730621,0.06585884656103078,0.7672308011859611
39.,0.1945637731771798,0.06628031587991691,0.7391559131309902
39.5,0.22598191394428638,0.030389989117416437,0.7436281988532704
40.,0.2607619632676003,0.02498832166572105,0.7142497150666787
