"Time","Coral","Macro"
0,0.10539103309083066,0.3914296835980001,0.5031792833111692
4,0.06506505643216584,0.6202326681776952,0.3147023013443585
8,0.0202916518276288,0.7880354197656486,0.19167300252584515
12,0.004825624048624629,0.8129701188830886,0.18220444553085352
16,0.0010762567930038206,0.874969291860782,0.12395452844976243
20,0.0002593191372416401,0.827395086146526,0.1723458172532934
24,0.00037730249048242533,0.18659632311742774,0.8130264333814651
28,0.0007896005342874669,0.30846087316093784,0.6907501462003924
32,0.003614461697530995,0.08892701896757005,0.9074586881495537
36,0.020115114829760708,0.10848723411315504,0.8713977224031763
40,0.09883629158733705,0.10583971736124666,0.795323991051416
